# h                  d1                 d2
1.0000000000e-02    3.3176814032e-01    3.3333950618e-01
9.5454845666e-03    3.3183901442e-01    3.3333895780e-01
9.1116275612e-03    3.3190669079e-01    3.3333845814e-01
8.6974900262e-03    3.3197131267e-01    3.3333800286e-01
8.3021756813e-03    3.3203301700e-01    3.3333758804e-01
7.9248289835e-03    3.3209193463e-01    3.3333721006e-01
7.5646332755e-03    3.3214819066e-01    3.3333686566e-01
7.2208090184e-03    3.3220190461e-01    3.3333655186e-01
6.8926121043e-03    3.3225319071e-01    3.3333626593e-01
6.5793322466e-03    3.3230215812e-01    3.3333600541e-01
6.2802914418e-03    3.3234891111e-01    3.3333576803e-01
5.9948425032e-03    3.3239354936e-01    3.3333555174e-01
5.7223676594e-03    3.3243616806e-01    3.3333535466e-01
5.4622772177e-03    3.3247685819e-01    3.3333517509e-01
5.2140082880e-03    3.3251570664e-01    3.3333501147e-01
4.9770235643e-03    3.3255279644e-01    3.3333486239e-01
4.7508101621e-03    3.3258820689e-01    3.3333472656e-01
4.5348785081e-03    3.3262201375e-01    3.3333460279e-01
4.3287612811e-03    3.3265428938e-01    3.3333449001e-01
4.1320124001e-03    3.3268510291e-01    3.3333438725e-01
3.9442060594e-03    3.3271452037e-01    3.3333429363e-01
3.7649358068e-03    3.3274260480e-01    3.3333420832e-01
3.5938136638e-03    3.3276941644e-01    3.3333413059e-01
3.4304692863e-03    3.3279501281e-01    3.3333405976e-01
3.2745491629e-03    3.3281944885e-01    3.3333399523e-01
3.1257158497e-03    3.3284277703e-01    3.3333393643e-01
2.9836472403e-03    3.3286504745e-01    3.3333388285e-01
2.8480358684e-03    3.3288630797e-01    3.3333383403e-01
2.7185882427e-03    3.3290660427e-01    3.3333378955e-01
2.5950242114e-03    3.3292598000e-01    3.3333374902e-01
2.4770763560e-03    3.3294447683e-01    3.3333371209e-01
2.3644894126e-03    3.3296213455e-01    3.3333367845e-01
2.2570197196e-03    3.3297899115e-01    3.3333364779e-01
2.1544346900e-03    3.3299508293e-01    3.3333361985e-01
2.0565123083e-03    3.3301044451e-01    3.3333359440e-01
1.9630406500e-03    3.3302510899e-01    3.3333357121e-01
1.8738174229e-03    3.3303910796e-01    3.3333355007e-01
1.7886495291e-03    3.3305247156e-01    3.3333353082e-01
1.7073526475e-03    3.3306522860e-01    3.3333351327e-01
1.6297508346e-03    3.3307740658e-01    3.3333349729e-01
1.5556761439e-03    3.3308903174e-01    3.3333348272e-01
1.4849682623e-03    3.3310012914e-01    3.3333346945e-01
1.4174741629e-03    3.3311072273e-01    3.3333345736e-01
1.3530477746e-03    3.3312083535e-01    3.3333344634e-01
1.2915496650e-03    3.3313048881e-01    3.3333343630e-01
1.2328467394e-03    3.3313970395e-01    3.3333342715e-01
1.1768119524e-03    3.3314850063e-01    3.3333341882e-01
1.1233240330e-03    3.3315689786e-01    3.3333341123e-01
1.0722672220e-03    3.3316491375e-01    3.3333340431e-01
1.0235310219e-03    3.3317256560e-01    3.3333339800e-01
9.7700995730e-04    3.3317986994e-01    3.3333339226e-01
9.3260334688e-04    3.3318684253e-01    3.3333338702e-01
8.9021508545e-04    3.3319349843e-01    3.3333338225e-01
8.4975343591e-04    3.3319985203e-01    3.3333337791e-01
8.1113083079e-04    3.3320591702e-01    3.3333337395e-01
7.7426368268e-04    3.3321170653e-01    3.3333337034e-01
7.3907220335e-04    3.3321723305e-01    3.3333336705e-01
7.0548023107e-04    3.3322250853e-01    3.3333336406e-01
6.7341506578e-04    3.3322754435e-01    3.3333336133e-01
6.4280731173e-04    3.3323235141e-01    3.3333335884e-01
6.1359072734e-04    3.3323694009e-01    3.3333335657e-01
5.8570208181e-04    3.3324132030e-01    3.3333335451e-01
5.5908101825e-04    3.3324550152e-01    3.3333335263e-01
5.3366992312e-04    3.3324949277e-01    3.3333335091e-01
5.0941380148e-04    3.3325330269e-01    3.3333334935e-01
4.8626015801e-04    3.3325693951e-01    3.3333334793e-01
4.6415888336e-04    3.3326041110e-01    3.3333334663e-01
4.4306214576e-04    3.3326372495e-01    3.3333334545e-01
4.2292428744e-04    3.3326688823e-01    3.3333334437e-01
4.0370172586e-04    3.3326990779e-01    3.3333334339e-01
3.8535285937e-04    3.3327279014e-01    3.3333334250e-01
3.6783797718e-04    3.3327554152e-01    3.3333334169e-01
3.5111917342e-04    3.3327816789e-01    3.3333334094e-01
3.3516026509e-04    3.3328067491e-01    3.3333334027e-01
3.1992671378e-04    3.3328306802e-01    3.3333333965e-01
3.0538555088e-04    3.3328535238e-01    3.3333333909e-01
2.9150530628e-04    3.3328753294e-01    3.3333333858e-01
2.7825594022e-04    3.3328961441e-01    3.3333333811e-01
2.6560877829e-04    3.3329160129e-01    3.3333333769e-01
2.5353644940e-04    3.3329349789e-01    3.3333333730e-01
2.4201282648e-04    3.3329530830e-01    3.3333333695e-01
2.3101297001e-04    3.3329703644e-01    3.3333333663e-01
2.2051307399e-04    3.3329868605e-01    3.3333333633e-01
2.1049041445e-04    3.3330026069e-01    3.3333333607e-01
2.0092330026e-04    3.3330176377e-01    3.3333333583e-01
1.9179102617e-04    3.3330319855e-01    3.3333333560e-01
1.8307382803e-04    3.3330456813e-01    3.3333333540e-01
1.7475284000e-04    3.3330587546e-01    3.3333333522e-01
1.6681005372e-04    3.3330712338e-01    3.3333333505e-01
1.5922827933e-04    3.3330831459e-01    3.3333333490e-01
1.5199110830e-04    3.3330945166e-01    3.3333333476e-01
1.4508287785e-04    3.3331053706e-01    3.3333333463e-01
1.3848863714e-04    3.3331157313e-01    3.3333333452e-01
1.3219411485e-04    3.3331256211e-01    3.3333333441e-01
1.2618568831e-04    3.3331350615e-01    3.3333333432e-01
1.2045035403e-04    3.3331440728e-01    3.3333333423e-01
1.1497569954e-04    3.3331526746e-01    3.3333333415e-01
1.0974987655e-04    3.3331608855e-01    3.3333333408e-01
1.0476157528e-04    3.3331687232e-01    3.3333333401e-01
1.0000000000e-04    3.3331762047e-01    3.3333333395e-01
