#cyc           accs            <E>            e_v            <M>            m_v          <|M|>             Cv            Khi
1              1          -0.04              0         0.0375              0         0.0375              0              0
2              2       -0.01875           0.05      -0.004375          0.025       0.004375    0.000277778    0.000208333
4              4       0.025625      0.0433013      -0.008125          0.025       0.008125    0.000208333    0.000208333
8              6      0.0596875      0.0330719     0.00265625      0.0390312     0.00265625    0.000121528    0.000507813
16             13     0.00828125       0.156998     -0.0128906        0.05511      0.0128906     0.00273872     0.00101237
32             23     -0.0714063      0.0863767    -0.00453125      0.0747391     0.00453125    0.000828993     0.00186198
64             48     -0.0236719        0.49999    -0.00339844       0.241653     0.00578125      0.0277767     0.00779948
128             94     -0.0480078        1.22617     -0.0156152      0.0728859      0.0156152       0.167055     0.00177078
256            191      -0.113818        1.82991     -0.0097168       0.173173      0.0097168       0.372065     0.00999629
512            370      -0.161011        3.22988      -0.024021       0.304515       0.024021        1.15913      0.0309097
1024            703      -0.239133        3.97853     -0.0135962       0.272666      0.0136719        1.75875      0.0236816
2048           1261      -0.386653         6.3051     -0.0141107        1.32061      0.0304034        4.41715       0.194535
4096           2286      -0.537297        7.81245     -0.0293896        0.48664      0.0294067        6.78161      0.0784036
8192           4259      -0.668774        7.57107     -0.0148994       0.557801       0.017209        6.36901      0.0641637
16384           8154      -0.730208        7.14959      0.0448316        1.61703      0.0474613        5.67962       0.742156
32768          15702      -0.779574          4.638    -0.00498665         2.2616      0.0481198        2.39012       0.483261
65536          30756      -0.797217        3.62268      0.0901168        2.57859      0.0906403         1.4582        2.16591
131072          60866      -0.806052        2.81087      0.0049966        3.27632      0.0650493       0.877888        1.33465
262144         119133       -0.83103        2.70629      0.0119537        3.77414      0.0828498       0.813777        1.16339
524288         240739       -0.82325         2.4585     -0.0176885        3.38634      0.0679019        0.67158        1.53027
1048576         481785      -0.823721        2.10903      -0.029954        2.59042       0.057987       0.494221       0.921966
2097152         972181      -0.813248         2.0422     -0.0123203        3.70982      0.0738773       0.463399         1.7577
4194304        1954051       -0.80788        1.97142      0.0012926         3.2821      0.0660031       0.431833         1.2682
8388608        3917019      -0.805281         1.9129    -0.00759321        3.28173      0.0661824       0.406576        1.28461
16777216        7670881      -0.826749        1.97236    -0.00927801        3.42884      0.0694233       0.432247        1.39443
33554432       15342882      -0.826315        1.89859    -0.00354089        3.42696       0.068881       0.400516        1.39093
67108864       30661512      -0.827131        1.91859     0.00441588        3.54412      0.0707754          0.409        1.52577
134217728       61318053      -0.827138        1.91252    -0.00242775        3.46348      0.0691251       0.406413         1.4533
268435456      122652134      -0.827284        1.91551     0.00288426        3.48733      0.0695514       0.407687        1.47832
